split,token_length,count
train,499,1
train,500,5
train,501,2
train,503,3
train,504,1
train,505,2
train,506,2
train,507,1
train,508,1
train,511,4
train,512,4
train,513,3
train,514,3
train,515,1
train,516,2
train,518,1
train,519,2
train,520,3
train,521,1
train,522,1
train,523,1
train,525,1
train,526,1
train,527,3
train,528,1
train,530,4
train,531,2
train,532,2
train,533,3
train,534,2
train,536,1
train,537,1
train,539,1
train,540,2
train,541,1
train,542,2
train,543,2
train,545,1
train,546,2
train,547,2
train,549,1
train,551,2
train,553,3
train,556,1
train,558,1
train,559,2
train,560,1
train,562,1
train,563,3
train,564,2
train,566,1
train,567,1
train,568,1
train,569,1
train,575,1
train,576,2
train,577,1
train,579,3
train,580,2
train,582,2
train,583,1
train,584,1
train,586,1
train,587,1
train,588,2
train,589,2
train,590,1
train,592,3
train,594,5
train,596,1
train,599,1
train,600,1
train,601,1
train,602,1
train,604,1
train,605,1
train,606,2
train,611,1
train,612,1
train,613,2
train,614,1
train,615,2
train,617,2
train,618,1
train,619,2
train,622,1
train,626,2
train,628,2
train,630,1
train,637,3
train,639,2
train,641,1
train,642,2
train,643,1
train,646,1
train,650,2
train,653,1
train,654,2
train,657,1
train,658,1
train,666,1
train,667,1
train,668,1
train,671,1
train,673,1
train,674,2
train,676,1
train,682,1
train,683,1
train,686,2
train,687,1
train,689,3
train,692,1
train,693,2
train,694,1
train,695,1
train,697,1
train,698,2
train,699,1
train,700,2
train,701,2
train,706,3
train,708,1
train,711,1
train,712,1
train,714,2
train,717,1
train,719,1
train,720,2
train,721,1
train,722,2
train,733,1
train,734,1
train,736,1
train,738,1
train,740,1
train,741,2
train,743,1
train,745,1
train,746,2
train,748,1
train,751,1
train,762,4
train,763,1
train,765,1
train,766,1
train,769,1
train,775,4
train,782,1
train,783,1
train,785,2
train,789,2
train,790,1
train,795,1
train,806,2
train,808,1
train,811,1
train,815,1
train,819,1
train,820,1
train,824,1
train,828,1
train,830,2
train,832,1
train,836,1
train,839,2
train,841,2
train,844,1
train,848,1
train,851,1
train,860,1
train,865,1
train,869,1
train,871,1
train,878,1
train,879,1
train,884,1
train,885,2
train,886,1
train,894,1
train,897,1
train,898,1
train,899,1
train,902,1
train,904,1
train,905,1
train,908,1
train,914,1
train,924,2
train,925,1
train,928,1
train,929,1
train,933,1
train,934,1
train,937,1
train,939,1
train,941,1
train,948,1
train,950,1
train,959,1
train,963,1
train,972,1
train,975,1
train,976,1
train,977,1
train,987,2
train,988,1
train,995,1
train,1008,1
train,1012,1
train,1025,2
train,1035,1
train,1040,2
train,1041,1
train,1045,1
train,1047,1
train,1048,1
train,1059,1
train,1061,1
train,1083,1
train,1099,1
train,1113,1
train,1156,1
train,1160,1
train,1165,1
train,1168,1
train,1175,1
train,1220,1
train,1244,1
train,1538,1
train,1554,1
train,1729,1
train,1873,1
train,1960,1
train,3424,1
validation,12,2
validation,14,1
validation,16,4
validation,17,1
validation,19,5
validation,20,5
validation,21,9
validation,22,19
validation,23,23
validation,24,39
validation,25,47
validation,26,64
validation,27,69
validation,28,69
validation,29,76
validation,30,90
validation,31,118
validation,32,137
validation,33,146
validation,34,170
validation,35,193
validation,36,216
validation,37,273
validation,38,277
validation,39,273
validation,40,313
validation,41,342
validation,42,423
validation,43,382
validation,44,390
validation,45,387
validation,46,400
validation,47,404
validation,48,424
validation,49,414
validation,50,400
validation,51,440
validation,52,373
validation,53,420
validation,54,356
validation,55,352
validation,56,352
validation,57,293
validation,58,325
validation,59,249
validation,60,233
validation,61,198
validation,62,218
validation,63,177
validation,64,126
validation,65,138
validation,66,133
validation,67,98
validation,68,85
validation,69,74
validation,70,66
validation,71,62
validation,72,62
validation,73,39
validation,74,35
validation,75,39
validation,76,27
validation,77,28
validation,78,20
validation,79,28
validation,80,25
validation,81,15
validation,82,14
validation,83,19
validation,84,12
validation,85,12
validation,86,10
validation,87,10
validation,88,14
validation,89,19
validation,90,14
validation,91,9
validation,92,7
validation,93,8
validation,94,8
validation,95,3
validation,96,7
validation,97,7
validation,98,13
validation,99,6
validation,100,4
validation,101,1
validation,102,5
validation,104,4
validation,105,4
validation,106,3
validation,107,4
validation,108,2
validation,109,2
validation,111,5
validation,112,4
validation,113,1
validation,114,1
validation,115,2
validation,117,1
validation,119,2
validation,120,1
validation,121,1
validation,123,1
validation,124,1
validation,125,1
validation,126,2
validation,128,2
validation,129,1
validation,130,2
validation,131,2
validation,134,1
validation,135,2
validation,136,4
validation,138,1
validation,139,1
validation,140,1
validation,143,1
validation,148,1
validation,149,2
validation,152,1
validation,153,1
validation,160,1
validation,162,1
validation,164,1
validation,174,1
validation,176,1
validation,180,2
validation,181,1
validation,184,1
validation,186,1
validation,194,1
validation,196,1
validation,204,1
test,17,1
test,18,1
test,19,6
test,20,5
test,21,6
test,22,14
test,23,16
test,24,25
test,25,31
test,26,34
test,27,43
test,28,50
test,29,56
test,30,67
test,31,73
test,32,78
test,33,79
test,34,101
test,35,130
test,36,128
test,37,156
test,38,162
test,39,177
test,40,210
test,41,224
test,42,220
test,43,257
test,44,229
test,45,259
test,46,236
test,47,273
test,48,253
test,49,265
test,50,269
test,51,266
test,52,265
test,53,249
test,54,233
test,55,221
test,56,227
test,57,216
test,58,174
test,59,183
test,60,151
test,61,142
test,62,121
test,63,118
test,64,103
test,65,110
test,66,76
test,67,63
test,68,58
test,69,57
test,70,31
test,71,42
test,72,26
test,73,25
test,74,29
test,75,28
test,76,13
test,77,21
test,78,16
test,79,11
test,80,9
test,81,11
test,82,20
test,83,12
test,84,8
test,85,7
test,86,9
test,87,7
test,88,7
test,89,3
test,90,5
test,91,5
test,92,3
test,93,6
test,94,3
test,95,5
test,96,5
test,97,4
test,98,3
test,99,3
test,100,4
test,101,2
test,102,3
test,103,1
test,104,1
test,105,2
test,106,3
test,107,1
test,108,2
test,109,1
test,110,2
test,111,2
test,112,2
test,113,2
test,114,2
test,116,2
test,120,1
test,123,1
test,125,1
test,127,1
test,130,1
test,133,1
test,142,1
test,149,1
test,150,1
test,152,1
test,155,1
test,158,1
test,160,1
test,170,1
test,172,1
test,176,1
test,179,1
test,180,1
test,181,2
test,182,2
test,188,1
test,196,1
